Nr,x,y,H,Kodi,Përshkrimi,Burimi
Fe01M,7510693.832,4691608.065,659.768,11,Monoment,PM
48282,7509497.54,4689695.264,651.6046,2,Kunjë - shtyllë metalik,PM
48283,7509515.1,4689708.483,653.275,2,Kunjë - shtyllë metalik,PM
48284,7509520.24,4689717.672,654.1528,2,Kunjë - shtyllë metalik,PM
48285,7509529.809,4689720.102,654.2384,2,Kunjë - shtyllë metalik,PM
48286,7509559.009,4689726.861,657.122,2,Kunjë - shtyllë metalik,PM
50614,7509312.253,4689702.449,661.944,2,Kunjë - shtyllë metalik,PM
50615,7509340.212,4689701.398,658.3037,2,Kunjë - shtyllë metalik,PM
50616,7509359.462,4689701.947,658.724,2,Kunjë - shtyllë metalik,PM
50619,7509310.563,4689751.167,674.6404,2,Kunjë - shtyllë metalik,PM
50620,7509311.213,4689726.608,667.0663,2,Kunjë - shtyllë metalik,PM
50621,7509311.483,4689715.478,664.2018,2,Kunjë - shtyllë metalik,PM
50623,7509346.133,4689774.186,675.9033,2,Kunjë - shtyllë metalik,PM
50624,7509343.743,4689767.286,673.984,2,Kunjë - shtyllë metalik,PM
50625,7509330.463,4689764.846,674.2641,2,Kunjë - shtyllë metalik,PM
50626,7509320.363,4689755.857,674.0665,2,Kunjë - shtyllë metalik,PM
50627,7509314.463,4689735.558,,,,
50628,7509326.933,4689731.757,,,,
50629,7509366.143,4689774.995,676.1442,2,Kunjë - shtyllë metalik,PM
50630,7509374.253,4689777.155,676.2822,2,Kunjë - shtyllë metalik,PM
50631,7509383.443,4689781.754,676.6056,2,Kunjë - shtyllë metalik,PM
50632,7509400.873,4689795.813,677.2858,2,Kunjë - shtyllë metalik,PM
50633,7509413.003,4689802.543,676.859,2,Kunjë - shtyllë metalik,PM
50634,7509426.523,4689815.522,676.6294,2,Kunjë - shtyllë metalik,PM
50635,7509433.823,4689825.802,676.2789,2,Kunjë - shtyllë metalik,PM
50636,7509442.473,4689842.851,676.9461,2,Kunjë - shtyllë metalik,PM
50637,7509445.973,4689854.98,677.4203,2,Kunjë - shtyllë metalik,PM
50638,7509447.034,4689886.439,678.1527,2,Kunjë - shtyllë metalik,PM
50639,7509467.583,4689872.909,677.0858,2,Kunjë - shtyllë metalik,PM
50640,7509467.783,4689869.139,676.8495,2,Kunjë - shtyllë metalik,PM
50641,7509467.583,4689853.47,675.2964,2,Kunjë - shtyllë metalik,PM
50642,7509467.982,4689838,673.3809,2,Kunjë - shtyllë metalik,PM
50643,7509570.9,4689818.628,669.6779,2,Kunjë - shtyllë metalik,PM
50644,7509639.849,4689805.786,667.1843,2,Kunjë - shtyllë metalik,PM
50645,7509606.539,4689777.938,665.5312,2,Kunjë - shtyllë metalik,PM
50646,7509594.089,4689771.109,664.1126,2,Kunjë - shtyllë metalik,PM
50647,7509570.219,4689748.65,660.239,2,Kunjë - shtyllë metalik,PM
50648,7509559.379,4689740.621,658.513,2,Kunjë - shtyllë metalik,PM
50649,7509513.82,4689761.921,661.1717,2,Kunjë - shtyllë metalik,PM
50650,7509491.741,4689747.862,662.2159,2,Kunjë - shtyllë metalik,PM
50651,7509452.159,4689739.093,,,,
50652,7509437.35,4689730.57,662.555,2,Kunjë - shtyllë metalik,PM
50653,7509426.76,4689724.037,662.4403,2,Kunjë - shtyllë metalik,PM
50654,7509416.2,4689720.57,661.6605,2,Kunjë - shtyllë metalik,PM
50655,7509384.947,4689709.11,660.0906,2,Kunjë - shtyllë metalik,PM
50732,7509495.546,4689715.813,653.9457,2,Kunjë - shtyllë metalik,PM
50733,7509519.43,4689720.652,654.6874,2,Kunjë - shtyllë metalik,PM
50734,7509495.219,4689717.962,654.0086,2,Kunjë - shtyllë metalik,PM
