Nr,x,y,H,Kodi,Përshkrimi,Burimi
FE01_stk1,7510693.832,4691608.065,659.768,11,Monoment,PM
47969,7510111.08,4689948.654,650.364,2,Kunjë - shtyllë metalik,PM
47970,7510093.719,4689906.976,651.257,2,Kunjë - shtyllë metalik,PM
48597,7510139.278,4689876.306,650.156,2,Kunjë - shtyllë metalik,PM
48598,7510161.897,4689856.976,649.362,2,Kunjë - shtyllë metalik,PM
48599,7510170.675,4689847.172,649.079,2,Kunjë - shtyllë metalik,PM
48618,7510178.25,4689861.515,649.102,2,Kunjë - shtyllë metalik,PM
48620,7510192.888,4689889.233,648.85,2,Kunjë - shtyllë metalik,PM
48621,7510160.559,4689912.233,649.24,2,Kunjë - shtyllë metalik,PM
3,7510102.398,4689927.811,650.648,2,Kunjë - shtyllë metalik,PM
4,7510182.91,4689870.338,649.082,2,Kunjë - shtyllë metalik,PM
