Nr,x,y,H,Kodi,Përshkrimi,Burimi
FE01_stk1,7510693.832,4691608.065,659.768,11,Monoment,PM
48381,7509505.464,4689989.844,665.855,2,Kunjë - shtyllë metalik,PM
48382,7509517.684,4689987.304,665.963,2,Kunjë - shtyllë metalik,PM
48383,7509565.953,4689962.534,665.196,2,Kunjë - shtyllë metalik,PM
50162,7509626.183,4690017.61,659.018,2,Kunjë - shtyllë metalik,PM
50163,7509612.574,4690046.08,658.262,2,Kunjë - shtyllë metalik,PM
50166,7509504.135,4690002.804,664.202,2,Kunjë - shtyllë metalik,PM
50167,7509591.164,4690080.299,657.361,2,Kunjë - shtyllë metalik,PM
50168,7509603.394,4690062.489,657.702,2,Kunjë - shtyllë metalik,PM
5,7509528.312,4689981.85,666.105,2,Kunjë - shtyllë metalik,PM
6,7509608.553,4690053.267,658.205,2,Kunjë - shtyllë metalik,PM
