A41207	7509585.5287	4689326.5838	653.4580	A41207.asc
A41208	7509592.4684	4689336.3637	653.2350	A41208.asc
A41209	7509610.1055	4689359.9247	652.4420	A41209.asc
A41217	7509651.4542	4689393.4589	650.0070	A41217.asc
A45992	7509671.2647	4689281.4439	669.4010	A45992.asc
A45993	7509649.6474	4689311.6127	662.8610	A45993.asc
A45995	7509705.2150	4689296.0028	666.0400	A45995.asc
A45996	7509684.8552	4689262.9647	672.8490	A45996.asc
A46005	7509628.4937	4689339.0237	656.8270	A46005.asc
A46006	7509639.3972	4689324.6437	659.8120	A46006.asc
A46013	7509678.0303	4689366.4877	649.3200	A46013.asc
A46014	7509689.1263	4689338.4252	652.7910	A46014.asc
A46015	7509697.7347	4689327.1807	656.6880	A46015.asc
A46016	7509701.0363	4689323.3412	658.3750	A46016.asc
A46017	7509714.8577	4689306.0563	664.5740	A46017.asc
A48283	7509515.1052	4689708.4775	653.2750	A48283.asc
A48286	7509559.0172	4689726.8548	657.1220	A48286.asc
A50647	7509570.2132	4689748.6415	660.2390	A50647.asc
A50648	7509559.3857	4689740.6283	658.5130	A50648.asc
A50652	7509437.3582	4689730.5632	662.5550	A50652.asc
A53369	7511186.4333	4691158.8993	615.9580	A53369.asc
A50614	7509312.2616	4689702.4437	661.9440	A50614.asc
B41216	7509661.3499	4689406.9056	649.4919	B41216.asc
B46012	7509673.4601	4689378.4069	649.2154	B46012.asc
B48486	7509924.4206	4690082.9861	654.5725	B48486.asc
B48487	7509975.7601	4690142.7586	652.0962	B48487.asc
B48488	7510005.8566	4690170.0850	651.4566	B48488.asc
B48489	7510009.7628	4690164.7579	651.6662	B48489.asc
B50634	7509426.5134	4689815.5268	676.6219	B50634.asc
B50635	7509433.8405	4689825.8071	676.2879	B50635.asc
B50636	7509442.4724	4689842.8365	676.9306	B50636.asc
B50637	7509445.9775	4689854.9807	677.4125	B50637.asc
B50638	7509447.0391	4689886.4227	678.1422	B50638.asc
B53449	7511091.4684	4691036.3926	616.4817	B53449.asc
B53450	7511126.4376	4691121.5220	616.1883	B53450.asc
B53451	7511147.9990	4691172.2926	616.1823	B53451.asc
46175_stk1	7510093.896	4689461.074	637.419	
46176_stk1	7510099.798	4689452.637	637.197	
46258_stk1	7510112.972	4689462.144	636.809	
46259_stk1	7510102.338	4689461.998	636.957	
48381_stk1	7509505.456	4689989.842	665.877	
48382_stk1	7509517.720	4689987.298	665.932	
48383_stk1	7509565.945	4689962.525	665.165	
48597_stk1	7510139.261	4689876.266	650.125	
48598_stk1	7510161.952	4689856.971	649.347	
48599_stk1	7510170.670	4689847.177	649.099	
50162_stk1	7509626.148	4690017.622	659.029	
