208,,,0,5,7509528.312,4689981.85,666.105,,,5,7509528.323,4689981.843,666.105,,0,-0.011,0.006999999,0,,,,,,
209,,,0,6,7509608.553,4690053.267,658.205,,,6,7509608.539,4690053.274,658.205,,0,0.014,-0.007,0,,,,,,
425,,,0,48381,7509505.464,4689989.844,665.855,,,48381,7509505.461,4689989.849,665.855,,0,0.003,-0.005000001,0,,,,,,
426,,,0,48382,7509517.684,4689987.304,665.963,,,48382,7509517.727,4689987.291,665.963,,0,-0.043,0.012999999,0,,,,,,
427,,,0,48383,7509565.953,4689962.534,665.196,,,48383,7509565.952,4689962.532,665.196,,0,0.001,0.002,0,,,,,,
428,,,0,50162,7509626.183,4690017.61,659.018,,,50162,7509626.154,4690017.628,659.018,,0,0.029,-0.017999999,0,,,48381,7509505.461,4689989.849,665.855
429,,,0,50163,7509612.574,4690046.08,658.262,,,50163,7509612.56,4690046.042,658.262,,0,0.014,0.038,0,,,48381,7509505.456,4689989.842,665.877
430,,,0,50166,7509504.135,4690002.804,664.202,,,50166,7509504.146,4690002.813,664.202,,0,-0.011,-0.009000001,0,,,48382,7509517.727,4689987.291,665.963
431,,,0,50167,7509591.164,4690080.299,657.361,,,50167,7509591.184,4690080.299,657.361,,0,-0.02,0,0,,,48382,7509517.72,4689987.298,665.932
432,,,0,50168,7509603.394,4690062.489,657.702,,,50168,7509603.394,4690062.502,657.702,,0,0,-0.013,0,,,48383,7509565.952,4689962.532,665.196
,,,,,,,,,,FE01_stk1,7510693.832,4691608.065,659.768,,#VALUE!,-7510693.832,-4691608.065,-659.768,,,48383,7509565.945,4689962.525,665.165
,,,,,,,,,,,,,,,,,,,,,50162,7509626.154,4690017.628,659.018
,,,,,,,,,,,,,,,,,,,,,50162,7509626.148,4690017.622,659.029
