741,,,,48282,7509497.54,4689695.264,651.6046,,,141,7509534.461,4689772.302,663.6965,GURI,,0,0.0004,1.00E-04,0
742,,,,48283,7509515.1,4689708.483,653.275,,,142,7509599.796,4689788.802,666.7269,GURI,,0,0.0004,-0.0002,0
743,,,,48284,7509520.24,4689717.672,654.1528,,,143,7509618.693,4689795.721,667.2066,GURI,,0,0,-0.0004,0
744,653.987,,,48285,7509529.809,4689720.102,654.2384,,,144,7509483.552,4689793.741,667.1079,MEGJ,,0,16.0579,-78.3966,-13.1209
731,,,,48286,7509559.009,4689726.861,657.122,,,145,7509482.003,4689792.483,667.6225,MEGJ,,0,0.000499999,-0.0002,0
737,,,,50614,7509312.253,4689702.449,661.944,,,146,7509485.25,4689794.871,667.3661,,,0,0,-0.000299999,0
745,651.967,,,50615,7509340.212,4689701.398,658.3037,,,147,7509475.471,4689804.589,668.9155,MEGJ,,0,25.8146,-106.5051,-16.9485
732,,,,50616,7509359.462,4689701.947,658.724,,,148,7509473.732,4689803.584,668.9464,MEGJ,,0,0,0.0002,0
736,,,,50619,7509310.563,4689751.167,674.6404,,,149,7509477.243,4689805.533,668.3723,MEGJ,,0,1.00E-04,0,0
734,,,,50620,7509311.213,4689726.608,667.0663,,,150,7509468.553,4689817.3,670.4003,MEGJ,,0,-1.00E-04,0,0
735,,,,50621,7509311.483,4689715.478,664.2018,,,151,7509470.47,4689817.929,670.208,MEGJ,,0,0.0005,0.000299999,0
733,,,,50623,7509346.133,4689774.186,675.9033,,,152,7509466.61,4689816.757,670.8563,MEGJ,,0,-0.000299999,0.000200001,0
730,,,,50624,7509343.743,4689767.286,673.984,,,153,7509439.479,4689769.458,669.1778,MEGJ,,0,0,0.0002,0
729,,,,50625,7509330.463,4689764.846,674.2641,,,154,7509408.588,4689754.15,668.7215,MEGJ,,0,-0.0002,0.000100001,0
728,,,,50626,7509320.363,4689755.857,674.0665,,,155,7509390.425,4689747.685,668.5063,GURI,,0,0.000299999,1.00E-04,0
727,,,,50629,7509366.143,4689774.995,676.1442,,,156,7509352.347,4689737.59,667.51,MEGJ,,0,0.0002,0.000299999,0
738,,,,50630,7509374.253,4689777.155,676.2822,,,157,7509510.423,4689759.738,661.1986,,,0,-0.000299999,0.0002,0
740,,,,50631,7509383.443,4689781.754,676.6056,,,158,7510019.664,4690139.382,651.9897,MURI,,0,-504.3919,-381.2687,0
288,,,,50632,7509400.873,4689795.813,677.2858,,,48282,7509497.54,4689695.268,651.6046,,,0,-0.0003,-0.003599999,0
289,,,,50633,7509413.003,4689802.543,676.859,,,48283,7509515.105,4689708.478,653.275,,,0,-0.0052,0.0055,0
290,,,,50634,7509426.523,4689815.522,676.6369,,,48284,7509520.241,4689717.683,654.1528,,,0,-0.0013,-0.0107,0
291,,,,50635,7509433.823,4689825.802,676.2699,,,48285,7509529.827,4689720.1,654.2384,,,0,-0.0181,0.0017,0
292,,,,50636,7509442.473,4689842.851,676.9616,,,48286,7509559.017,4689726.855,657.122,,,0,-0.0082,0.0062,0
308,,,,50637,7509445.973,4689854.98,677.4281,,,50614,7509312.262,4689702.444,661.944,,,0,-0.0086,0.0053,0
309,,,,50638,7509447.034,4689886.439,678.1632,,,50615,7509340.216,4689701.382,658.3037,,,0,-0.0035,0.0165,0
310,,,,50639,7509467.583,4689872.909,677.0858,,,50616,7509359.461,4689701.955,658.724,,,0,0.000800001,-0.008400001,0
311,,,,50640,7509467.783,4689869.139,676.8495,,,50619,7509310.567,4689751.168,674.6404,,,0,-0.0044,-0.0012,0
312,,,,50641,7509467.583,4689853.47,675.2964,,,50620,7509311.236,4689726.607,667.0663,,,0,-0.022899999,0.0014,0
313,,,,50642,7509467.982,4689838,673.3809,,,50621,7509311.486,4689715.469,664.2018,,,0,-0.0029,0.0093,0
314,,,,50643,7509570.9,4689818.628,669.6779,,,50623,7509346.132,4689774.183,675.9033,,,0,0.0015,0.002599999,0
315,,,,50644,7509639.849,4689805.786,667.1843,,,50624,7509343.715,4689767.28,673.984,,,0,0.028,0.006200001,0
316,,,,50645,7509606.539,4689777.938,665.5312,,,50625,7509330.468,4689764.862,674.2641,,,0,-0.005399999,-0.0161,0
317,,,,50646,7509594.089,4689771.109,664.1126,,,50626,7509320.343,4689755.88,674.0665,,,0,0.0202,-0.0226,0
320,,,,50647,7509570.219,4689748.65,660.239,,,50629,7509366.13,4689774.99,676.1442,,,0,0.0127,0.005,0
